emp_no,last_name,first_name,title,salary
470117,Varman,Hailing,Assistant Engineer,40000
255157,Zlotek,Saeed,Assistant Engineer,40000
269394,Noriega,Teiji,Assistant Engineer,40000
55552,Schicker,Ohad,Assistant Engineer,40000
212697,Raney,Yongmao,Assistant Engineer,49640
280977,Shokrollahi,Frazer,Assistant Engineer,43557
262736,Waschkowski,Maris,Assistant Engineer,49779
296047,Schlenzig,Mariusz,Assistant Engineer,40000
251804,Akaboshi,Shir,Assistant Engineer,40000
18866,Hettesheimer,Fumiyo,Assistant Engineer,56470
406853,Couchot,Sachio,Assistant Engineer,46733
286319,Quaggetto,Baziley,Assistant Engineer,43514
403085,Irland,Halsur,Assistant Engineer,40000
283840,Menyhert,Shuzo,Assistant Engineer,40000
285643,Rusterholz,Dulce,Assistant Engineer,64562
88628,Polajnar,Guoxiang,Assistant Engineer,40000
241502,Hainaut,Mitchel,Assistant Engineer,43481
238372,Harbusch,Yuriy,Assistant Engineer,40000
269039,Alpin,Lenore,Assistant Engineer,50571
46221,Kobuchi,Weidon,Assistant Engineer,51056
442699,Baer,Samphel,Assistant Engineer,40000
269041,Picaronny,Yahiko,Assistant Engineer,60384
277886,Yeung,Vishv,Assistant Engineer,61591
283306,Giaccio,Kendra,Assistant Engineer,43867
66991,Ranum,Khoa,Assistant Engineer,51285
299844,Scallan,Nalini,Assistant Engineer,40000
212168,Rathonyi,Licheng,Assistant Engineer,46555
22833,Plessier,Alassane,Assistant Engineer,51912
488667,Basagni,Mayumi,Assistant Engineer,47281
15934,Shinomoto,Kensyu,Assistant Engineer,50454
256213,Pileggi,Shichao,Assistant Engineer,40000
474755,Varker,Christ,Assistant Engineer,40000
15392,Markovitch,Pradeep,Assistant Engineer,55638
264280,Lienhardt,Mohua,Assistant Engineer,59767
92517,Suessmith,Mamdouh,Assistant Engineer,40000
31290,Coullard,Masoud,Assistant Engineer,40000
404074,Moehrke,Horward,Assistant Engineer,58459
484271,Pettey,Hauke,Assistant Engineer,59800
458690,Osgood,Yagil,Assistant Engineer,40000
243128,Papadias,Zhonghua,Assistant Engineer,53946
255282,Aamodt,Sumant,Assistant Engineer,40000
80981,Niizuma,Fumitake,Assistant Engineer,40000
471664,Bharadwaj,Breannda,Assistant Engineer,50014
91451,Savasere,Akeno,Assistant Engineer,40000
423876,Gustavson,Amstein,Assistant Engineer,40000
103424,Knightly,Geoffrey,Assistant Engineer,40000
44285,Chimia,Keiichiro,Assistant Engineer,40000
62155,Basawa,Akemi,Assistant Engineer,40170
97886,Chartres,Mario,Assistant Engineer,40000
460897,Krohn,Fei,Assistant Engineer,40000
40853,Guardalben,Terresa,Assistant Engineer,40000
452837,Garnham,Muzhong,Assistant Engineer,40360
203286,Ginesta,Hisao,Assistant Engineer,40000
436156,Benaini,Nectarios,Assistant Engineer,60657
60354,Plesums,Shakhar,Assistant Engineer,40000
55861,Delgrande,Alois,Assistant Engineer,40000
414844,Stroustrup,Genevieve,Assistant Engineer,40000
85645,Ashish,Henk,Assistant Engineer,61130
40489,Bugrara,Yongmao,Assistant Engineer,40829
84475,Erni,Kien,Assistant Engineer,42343
281058,Bressoud,Miomir,Assistant Engineer,40000
214446,Mersereau,Barry,Assistant Engineer,71698
233346,Oehlmann,Serenella,Assistant Engineer,40000
